INFO:19/08/2018 20:57:51, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:20/08/2018 10:54:16, Copio 8
INFO:20/08/2018 10:54:16, Copio 6
INFO:20/08/2018 10:54:16, Copio 9
INFO:20/08/2018 10:54:16, Fitness: #### [96, 94, 79, 77]
INFO:20/08/2018 10:54:16, Renumbering...
INFO:20/08/2018 10:54:16, 4 genes have been renumbered.
INFO:20/08/2018 10:54:16, Copio 2
INFO:20/08/2018 10:54:17, Copio 3
INFO:20/08/2018 10:54:17, Seleccionadoss 2 y 3
INFO:20/08/2018 10:54:17, Copio 2
INFO:20/08/2018 10:54:17, Copio 1
INFO:20/08/2018 10:54:17, Seleccionadoss 2 y 1
INFO:20/08/2018 10:54:17, Copio 0
INFO:20/08/2018 10:54:17, Copio 4
INFO:20/08/2018 10:54:17, Seleccionadoss 0 y 4
INFO:20/08/2018 10:54:17, Copio 0
INFO:20/08/2018 10:54:17, Copio 2
INFO:20/08/2018 10:54:17, Seleccionadoss 0 y 2
INFO:20/08/2018 10:54:17, Copio 7
INFO:20/08/2018 10:54:17, Copio 4
INFO:20/08/2018 10:54:17, Seleccionadoss 7 y 4
INFO:20/08/2018 10:54:17, Copio 0
INFO:20/08/2018 10:54:17, Copio 1
INFO:20/08/2018 10:54:17, Seleccionadoss 0 y 1
INFO:20/08/2018 10:54:17, Copio 8
INFO:20/08/2018 10:54:17, Copio 9
INFO:20/08/2018 10:54:17, Generación completada 3
INFO:20/08/2018 10:55:45, Copio 11
INFO:20/08/2018 10:55:45, Copio 9
INFO:20/08/2018 10:55:45, Copio 5
INFO:20/08/2018 10:55:45, Copio 0
INFO:20/08/2018 10:55:45, Fitness: #### [93, 92, 90, 87]
INFO:20/08/2018 10:55:45, Renumbering...
INFO:20/08/2018 10:55:45, 4 genes have been renumbered.
INFO:20/08/2018 10:55:45, Copio 0
INFO:20/08/2018 10:55:45, Copio 0
INFO:20/08/2018 10:55:45, Seleccionadoss 0 y 0
INFO:20/08/2018 10:55:45, Copio 2
INFO:20/08/2018 10:55:45, Copio 1
INFO:20/08/2018 10:55:45, Seleccionadoss 2 y 1
INFO:20/08/2018 10:55:45, Copio 1
INFO:20/08/2018 10:55:46, Copio 2
INFO:20/08/2018 10:55:46, Seleccionadoss 1 y 2
INFO:20/08/2018 10:55:46, Copio 5
INFO:20/08/2018 10:55:46, Copio 0
INFO:20/08/2018 10:55:46, Seleccionadoss 5 y 0
INFO:20/08/2018 10:55:46, Copio 4
INFO:20/08/2018 10:55:46, Copio 3
INFO:20/08/2018 10:55:46, Seleccionadoss 4 y 3
INFO:20/08/2018 10:55:46, Copio 2
INFO:20/08/2018 10:55:46, Copio 3
INFO:20/08/2018 10:55:46, Seleccionadoss 2 y 3
INFO:20/08/2018 10:55:46, Copio 5
INFO:20/08/2018 10:55:46, Copio 9
INFO:20/08/2018 10:55:46, Generación completada 4
INFO:20/08/2018 10:57:10, Copio 6
INFO:20/08/2018 10:57:10, Copio 9
INFO:20/08/2018 10:57:11, Copio 1
INFO:20/08/2018 10:57:11, Copio 10
INFO:20/08/2018 10:57:11, Fitness: #### [98, 98, 90, 88]
INFO:20/08/2018 10:57:11, Renumbering...
INFO:20/08/2018 10:57:11, 4 genes have been renumbered.
INFO:20/08/2018 10:57:11, Copio 0
INFO:20/08/2018 10:57:11, Copio 0
INFO:20/08/2018 10:57:11, Seleccionadoss 0 y 0
INFO:20/08/2018 10:57:11, Copio 0
INFO:20/08/2018 10:57:11, Copio 3
INFO:20/08/2018 10:57:11, Seleccionadoss 0 y 3
INFO:20/08/2018 10:57:11, Copio 1
INFO:20/08/2018 10:57:11, Copio 3
INFO:20/08/2018 10:57:11, Seleccionadoss 1 y 3
INFO:20/08/2018 10:57:11, Copio 0
INFO:20/08/2018 10:57:11, Copio 3
INFO:20/08/2018 10:57:11, Seleccionadoss 0 y 3
INFO:20/08/2018 10:57:12, Copio 3
INFO:20/08/2018 10:57:12, Copio 3
INFO:20/08/2018 10:57:12, Seleccionadoss 3 y 3
INFO:20/08/2018 10:57:12, Copio 5
INFO:20/08/2018 10:57:12, Copio 0
